pseudemys rubriventris,89,78CBK,species,,"USA ((Pennsylvania, along the Atlantic Coastal Plain in New York, New Jersey, Delaware, Virginia, NE North Carolina, and west up the Potomac River to E West Virginia, relict populations in Plymouth county and possibly Essex county, Massachusetts)",No Valid Country Found,No Valid Country Found,
rhinoclemmys pulcherrima,90,4S8B6,species,,"Mexico (Sonora, Sinaloa, Nayarit, Jalisco, Colima, Michoacan, Guerrero, Oaxaca, Chiapas),",Mexico,Mexico,
rhinoclemmys sspp,91,78P2,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,rhinoclemmys sspp
sacalia quadriocellata,92,4TVYB,species,,"SE China (incl. Hainan, Guangxi, Guizhou, Yunnan, Jiangxi), Vietnam, Laos",China,"China, Vietnam, Laos",
sternotherus carinatus,93,52FSR,species,,"USA (Gulf Coastal Plain of (Alabama, SE Oklahoma, C/S Arkansas, Mississippi, E Texas, Louisiana)",No Valid Country Found,No Valid Country Found,
sternotherus odoratus,94,52FT3,species,,"Canada (S Ontario, Quebec),",Canada,Canada,
terrapene carolina carolina,95,7J4ZX,subspecies,,"USA (S Maine, S New Hampshire, SE New York, Massachusetts, Connecticut, Pennsylvania, New Jersey, Delaware, Maryland, West Virginia, Virginia, North Carolina, South Carolina, Georgia, Florida, Alabama, Mississippi, Louisiana, Missouri, Arkansas, S Illinois, Indiana, Michigan, Ohio, Kentucky, Tennessee, E Kansas, E Oklahoma, C/E Texas)",Georgia,Georgia,
terrapene carolina major,96,7J4ZW,subspecies,,"USA (S Maine, S New Hampshire, SE New York, Massachusetts, Connecticut, Pennsylvania, New Jersey, Delaware, Maryland, West Virginia, Virginia, North Carolina, South Carolina, Georgia, Florida, Alabama, Mississippi, Louisiana, Missouri, Arkansas, S Illinois, Indiana, Michigan, Ohio, Kentucky, Tennessee, E Kansas, E Oklahoma, C/E Texas)",Georgia,Georgia,
terrapene mexicana,97,55HWR,species,,"Mexico (San Luis Potosi, Tamaulipas, Veracruz)",Mexico,Mexico,
terrapene triunguis,98,6478B,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,terrapene triunguis
trachemys scripta elegans,99,5F8HQ,subspecies,,"scripta: USA (Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia) [Rhodin et al. 2010]",Georgia,Georgia,
trachemys scripta scripta,100,5F8HR,subspecies,,"scripta: USA (Alabama, Florida, Georgia, North Carolina, South Carolina, Virginia) [Rhodin et al. 2010]",Georgia,Georgia,
trachemys venusta,101,7CLCL,species,,"Belize, Colombia (Antioquia, Chocó), Costa Rica, El Salvador, Guatemala, Honduras, Mexico (Campeche, Chiapas, Oaxaca, Quintana Roo, San Luis Potosi, Tabasco, Tamaulipas, Veracruz, Puebla, Yucatán, Nuevo León), Nicaragua, Panama",Belize,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",
geoemyda spengleri,102,3FPPW,species,,"S China (from Kwangsi, Kwangtung, Guangdong, Hainan Island), Vietnam, Laos",China,"China, Vietnam, Laos",
alligator mississippiensis,103,BTRB,species,,"SE USA (Alabama, Arkansas, North Carolina,  South Carolina, Florida, Georgia, Louisiana, Mississippi, Oklahoma, Texas), Mexico",Georgia,"Georgia, Mexico",
alligator sinensis,104,BTRF,species,,"China (areas around the lower Yangzi River in Jiangau, Zhejiang, Anhui)",China,China,
caiman crocodilus,105,PBBP,species,,"Brazil (incl. Mato Grosso, Acre, Pará, Piauí), Colombia (incl. Valle del Cauca), Costa Rica,",Brazil,"Brazil, Colombia, Costa Rica",
crocodylus mindorensis,106,ZKNG,species,,"Philippines (islands of Busuanga, Luzon, Masbate, Mindanao, Mindoro, Negros, Samar), Sulu Archipelago",Philippines,Philippines,
crocodylus porosus,107,ZKNP,species,,"Australia, Bangladesh, Brunei, Myanmar (= Burma), Cambodia, India (including Andaman Islands, Nicobar Islands, Kerala), Indonesia (Java, Sulawesi, Komodo), Malaysia, Palau (Caroline Islands) , Papua New Guinea, Philippines, Singapore, Sri Lanka, Solomon Islands, Thailand, Vanuatu (Banks Islands), Nauru?, Micronesia, Vietnam.",Australia,"Australia, Bangladesh, Brunei, Myanmar, Cambodia, India, Indonesia, Malaysia, Palau, Papua New Guinea, Philippines, Singapore, Sri Lanka, Solomon Islands, Thailand, Nauru, Micronesia, Vietnam",
crocodylus siamensis,108,ZKNS,species,,"Cambodia, Indonesia (including Borneo and possibly Java), Laos, Malaysia, Thailand, Vietnam, Brunei, Myanmar (= Burma).",Cambodia,"Cambodia, Indonesia, Laos, Malaysia, Thailand, Vietnam, Brunei, Myanmar",
gavialis gangeticus,109,3FFQ3,species,,"Bangladesh, Bhutan, Myanmar (= Burma), N India (Madhya Pradesh etc), Nepal, Pakistan",Bangladesh,"Bangladesh, Bhutan, Myanmar, Nepal, Pakistan",
osteolaemus tetraspis,110,6TBCB,species,,"Angola, Benin, Burkina Faso, Cameroon,",Angola,"Angola, Benin",
paleosuchus palpebrosus,111,4C47J,species,,"Bolivia, Brazil (Goias, Acre, Piauí, Pernambuco, Paraíba etc.), Colombia, Ecuador, French Guiana, Guyana ?, NE Paraguay, Peru, Suriname, Venezuela, Trinidad",Bolivia,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, Suriname, Venezuela",
tomistoma schlegelii,112,57D4X,species,,"Indonesia (Sumatra, Borneo, Kalimantan, Java, Sulawesi),",Indonesia,Indonesia,
,113,,name not found,,,No Valid Country Found,No Valid Country Found,
,114,,name not found,,,No Valid Country Found,No Valid Country Found,
hydrosaurus amboinensis,115,6MLCW,species,,"Indonesia (Halmahera etc.), Papua New Guinea",Indonesia,"Indonesia, Papua New Guinea",
hydrosaurus pustulatus,116,3N9VG,species,,"Philippines (Luzon, Polillo, Mindoro, Negros, Dinagat, Mindanao, Panay, Bohol, Cebu, Sibuyan, Camiguin Sur)",Philippines,Philippines,
leiolepis sp,117,5BWY,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,leiolepis sp
pogona sp,118,63NN8,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,pogona sp
uromastyx ornata,119,7DVYB,species,,"Egypt, Israel, Saudi Arabia, Yemen",Egypt,"Egypt, Israel, Saudi Arabia, Yemen",
