Kind,Kind2,Kind3,Kind4,Common Name,Common name2,Common name3,Common Name Common name2 Common name3,Bi or Trinomial Name,Sp Short Name,Kingdom,Phylum,Class,Order,Infraorder,Clade,Sub Order,Superfamily,Family,Sub family,Tribe,Genus,Sub Genus,Species,Sub species 1,Sub Species 2,Prior binomial name,Kind > Kind2 Kind3,"Genus > Species > 
 > Sub species 1","Common Name
 > Bi or Trinomial Name",Code1,Code2,Code3,,,,,,,,Original Order,Cleaned Name,Taxon ID,Match Level,Error,dwc:taxonID,Unmatched Names
Arachnid,Tarantula,,,Tarantula*,,,Tarantula*  ,*,*,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,*,,,*,,*,,,,Arachnid > Tarantula,* > *,"Tarantula*
 > *",ARTAR,TARNT,,,,,,,,,30,,,name not found,,,
Arachnid,Tarantula,,,Costa Rican Zebra Tarantula,Striped-Knee Tarantula,,Costa Rican Zebra Tarantula Striped-Knee Tarantula ,Aphonopelma seemanni,A. seemanni,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Aphonopelma,,seemanni,,,,Arachnid > Tarantula,Aphonopelma > seemanni,"Costa Rican Zebra Tarantula
 > Aphonopelma seemanni",ARTAR,COZEB,,,,,,,,,31,aphonopelma seemanni,FJSX,species,,FJSX,
Arachnid,Tarantula,,,Mexican Fire Leg Tarantula,,,Mexican Fire Leg Tarantula  ,Brachypelma boehmei,B. boehmei,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Brachypelma,,boehmei,,,,Arachnid > Tarantula,Brachypelma > boehmei,"Mexican Fire Leg Tarantula
 > Brachypelma boehmei",ARTAR,MXFLG,,,,,,,,,32,brachypelma boehmei,MYBN,species,,MYBN,
Arachnid,Tarantula,,,Mexican Redknee Tarantula,,,Mexican Redknee Tarantula  ,Brachypelma smithi,B. smithi,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Brachypelma,,smithi,,,,Arachnid > Tarantula,Brachypelma > smithi,"Mexican Redknee Tarantula
 > Brachypelma smithi",ARTAR,MXRKN,,,,,,,,,33,brachypelma smithi,MYBY,species,,MYBY,
Arachnid,Tarantula,,,Cobalt Blue Tarantula,,,Cobalt Blue Tarantula  ,Cyriopagopus lividus,C. lividus,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Cyriopagopus,,lividus,,,,Arachnid > Tarantula,Cyriopagopus > lividus,"Cobalt Blue Tarantula
 > Cyriopagopus lividus",ARTAR,COBLT,,,,,,,,,34,cyriopagopus lividus,33JSM,species,,33JSM,
Arachnid,Tarantula,,,Thailand Black Tarantula,,,Thailand Black Tarantula  ,Cyriopagopus minax,C. minax,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Cyriopagopus,,minax,,,,Arachnid > Tarantula,Cyriopagopus > minax,"Thailand Black Tarantula
 > Cyriopagopus minax",ARTAR,THABL,,,,,,,,,35,cyriopagopus minax,33JSP,species,,33JSP,
Arachnid,Tarantula,,,Chaco Golden knee tarantula,,,Chaco Golden knee tarantula  ,Grammostola Pulchripes,G. Pulchripes,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Grammostola,,pulchripes,,,,Arachnid > Tarantula,Grammostola > pulchripes,"Chaco Golden knee tarantula
 > Grammostola Pulchripes",ARTAR,CHAGK,,,,,,,,,36,grammostola pulchripes,3H7H5,species,,3H7H5,
Arachnid,Tarantula,,,Orange Baboon Tarantula,,,Orange Baboon Tarantula  ,Pterinochilus murinus,P. murinus,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Pterinochilus,,murinus,,,,Arachnid > Tarantula,Pterinochilus > murinus,"Orange Baboon Tarantula
 > Pterinochilus murinus",ARTAR,ORBAB,,,,,,,,,37,pterinochilus murinus,6WLFJ,species,,6WLFJ,
Arthropod,Centipede,,,Centipede,,,Centipede  ,,,Animalia,Arthropoda,Chilopoda,,,,,,,,,,,,,,,Arthropod > Centipede,>,"Centipede
 >",ARCEN,CENTI,,,,,,,,,38,,,name not found,,,
Chelonian (Testudines),Tortoise,,,African Spurred Tortoise,Sulcata Tortoise,,African Spurred Tortoise Sulcata Tortoise ,Centrochelys sulcata,,Animalia,Chordata,Reptilia,Testudines,,,,Testudinoidea,Testudinidae,,,Centrochelys,,sulcata,,,,Chelonian (Testudines) > Tortoise,Centrochelys > sulcata,"African Spurred Tortoise
 > Centrochelys sulcata",CHTOR,,,,,,,,,,39,centrochelys sulcata,S9KW,species,,S9KW,
Chelonian (Testudines),Tortoise,,,Radiated Tortoise,,,Radiated Tortoise  ,Astrochelys radiata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Astrochelys,,radiata,,,,Chelonian (Testudines) > Tortoise,Astrochelys > radiata,"Radiated Tortoise
 > Astrochelys radiata",CHTOR,,,,,,,,,,40,astrochelys radiata,J439,species,,J439,
Chelonian (Testudines),Tortoise,,,Ploughshare tortoise,,,Ploughshare tortoise  ,Astrochelys yniphora,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Astrochelys,,yniphora,,,,Chelonian (Testudines) > Tortoise,Astrochelys > yniphora,"Ploughshare tortoise
 > Astrochelys yniphora",CHTOR,,,,,,,,,,41,astrochelys yniphora,5VVSV,species,,5VVSV,
Chelonian (Testudines),Tortoise,,,Red Footed Tortoise,,,Red Footed Tortoise  ,Chelonoidis carbonarius,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,carbonarius,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > carbonarius,"Red Footed Tortoise
 > Chelonoidis carbonarius",CHTOR,,,,,,,,,,42,chelonoidis carbonarius,TVL4,species,,TVL4,
Chelonian (Testudines),Tortoise,,,Cherry Head Red Footed tortoise,,,Cherry Head Red Footed tortoise  ,Chelonoidis carbonarius,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,carbonarius,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > carbonarius,"Cherry Head Red Footed tortoise
 > Chelonoidis carbonarius",CHTOR,,,,,,,,,,43,chelonoidis carbonarius,TVL4,species,,TVL4,
Chelonian (Testudines),Tortoise,,,Yellow Footed Tortoise,,,Yellow Footed Tortoise  ,Chelonoidis denticulatus,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,denticulatus,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > denticulatus,"Yellow Footed Tortoise
 > Chelonoidis denticulatus",CHTOR,,,,,,,,,,44,chelonoidis denticulatus,TVL9,species,,TVL9,
Chelonian (Testudines),Tortoise,,,GALAPAGOS TORTOISE,,,GALAPAGOS TORTOISE  ,Chelonoidis niger,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,niger,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > niger,"GALAPAGOS TORTOISE
 > Chelonoidis niger",CHTOR,,,,,,,,,,45,chelonoidis niger,5Y2Z9,species,,5Y2Z9,
Chelonian (Testudines),Tortoise,,,Elongated tortoise,,,Elongated tortoise  ,Indotestudo elongata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Indotestudo,,elongata,,,,Chelonian (Testudines) > Tortoise,Indotestudo > elongata,"Elongated tortoise
 > Indotestudo elongata",CHTOR,,,,,,,,,,46,indotestudo elongata,3PNQV,species,,3PNQV,
Chelonian (Testudines),Tortoise,,,Leopard Tortoise,,,Leopard Tortoise  ,Stigmochelys pardalis,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Stigmochelys,,pardalis,,,,Chelonian (Testudines) > Tortoise,Stigmochelys > pardalis,"Leopard Tortoise
 > Stigmochelys pardalis",CHTOR,,,,,,,,,,47,stigmochelys pardalis,52MQ5,species,,52MQ5,
Chelonian (Testudines),Tortoise,,,Hermann's tortoise,,,Hermann's tortoise  ,Testudo hermanni,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Testudo,,hermanni,,,,Chelonian (Testudines) > Tortoise,Testudo > hermanni,"Hermann's tortoise
 > Testudo hermanni",CHTOR,,,,,,,,,,48,testudo hermanni,7C3D6,species,,7C3D6,
Chelonian (Testudines),Tortoise,,,Russian tortoise,,,Russian tortoise  ,Testudo horsfieldii,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Testudo,,horsfieldii,,,,Chelonian (Testudines) > Tortoise,Testudo > horsfieldii,"Russian tortoise
 > Testudo horsfieldii",CHTOR,,,,,,,,,,49,testudo horsfieldii,55JSY,species,,55JSY,
Chelonian (Testudines),Tortoise,,,Aldabra Giant Tortoise,,,Aldabra Giant Tortoise  ,Aldabrachelys gigantea,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,,,,,,,Chelonian (Testudines) > Tortoise,>,"Aldabra Giant Tortoise
 > Aldabrachelys gigantea",CHTOR,,,,,,,,,,50,aldabrachelys gigantea,6689N,species,,6689N,
Chelonian (Testudines),Turtle,,,Florida box turtle,,,Florida box turtle  ,Terrapene carolina bauri,Taylor,1895,Chordata,Reptilia,Testudines,,,,,,,,Terrapene,,carolina,,,,Chelonian (Testudines) > Turtle,Terrapene > carolina,"Florida box turtle
 > Terrapene carolina bauri",CHTUR,,,,,,,,,,51,terrapene carolina bauri,B46PJ,subspecies,,B46PJ,
Chelonian (Testudines),Turtle,,,Reeves Turtle ,Chinese Pond Turtle,Chinese three-keeled pond turtle,Reeves Turtle  Chinese Pond Turtle Chinese three-keeled pond turtle,Mauremys reevesii,M. reevesii,Animalia,Chordata,Reptilia,Testudines,,,Cryptodira,Testudinoidea,Geoemydidae,,,Mauremys,,reevesii,,,,Chelonian (Testudines) > Turtle,Mauremys > reevesii,"Reeves Turtle 
 > Mauremys reevesii",CHTUR,,,,,,,,,,52,mauremys reevesii,3YFWL,species,,3YFWL,
